Episode Interval,Episode End,Average Reward (Score),Average Win Rate
0-100,100,-509.86,0.0
100-200,200,-502.61,0.01
200-300,300,-508.92,0.0
300-400,400,-509.54,0.0
400-500,500,-508.26,0.0
500-600,600,-509.87,0.0
600-700,700,-509.47,0.0
700-800,800,-508.82,0.0
800-900,900,-509.44,0.0
900-1000,1000,-509.6,0.0
