Episode Interval,Episode End,Average Reward (Score),Average Win Rate
0-100,100,-509.72,0.0
100-200,200,-510.07,0.0
200-300,300,-509.92,0.0
300-400,400,-509.09,0.0
400-500,500,-509.39,0.0
500-600,600,-510.12,0.0
600-700,700,-509.77,0.0
700-800,800,-509.04,0.0
800-900,900,-509.36,0.0
900-1000,1000,-509.5,0.0
1000-1100,1100,-510.03,0.0
1100-1200,1200,-509.16,0.0
